captureArrivalUs,rifeStartUs,rifeEndUs,presentedUs,inferenceMs,dropped
0,761,0,1914,0.000,0
35083,36246,0,37474,0.000,0
35083,36246,68993,69388,32.747,0
69508,69922,102201,102911,32.279,0
103033,103350,136001,136848,32.651,0
137110,137524,170055,170843,32.532,0
171013,189177,219970,222505,30.794,0
222609,222811,254963,255435,32.152,0
255748,255978,288589,289281,32.611,0
289945,290257,321893,322593,31.636,0
322975,323428,355832,356670,32.404,0
391072,0,0,391478,0.000,0
391072,391698,423586,423989,31.888,0
457073,0,0,457125,0.000,0
457073,457381,490201,490679,32.821,0
490931,491216,523238,523644,32.022,0
523944,524151,556515,557307,32.364,0
557548,557908,590657,591048,32.749,0
591300,591504,623553,624052,32.049,0
658279,0,0,658635,0.000,0
658279,658848,691444,691902,32.596,0
692121,692365,725121,725705,32.756,0
726008,726272,758194,758905,31.922,0
759255,759895,792892,793848,32.997,0
794239,794723,827262,827760,32.539,0
828837,829415,861051,862687,31.637,0
863485,863987,896653,897126,32.666,0
897424,897640,930342,930902,32.701,0
931187,931474,963710,964407,32.236,0
964676,965021,997246,997585,32.225,0
997806,998080,1030896,1031332,32.816,0
1031539,1031752,1063676,1064035,31.924,0
1064249,1064498,1096967,1097366,32.469,0
1097579,1097773,1130375,1130889,32.603,0
1164867,0,0,1165035,0.000,0
1164867,1165569,1198198,1198806,32.629,0
1199112,1199432,1231898,1232355,32.466,0
1232463,1232903,1265039,1265797,32.135,0
1265983,1266511,1298943,1299362,32.433,0
1299556,1299757,1332227,1332658,32.470,0
1332987,1333623,1366472,1366905,32.850,0
1367334,1367614,1400772,1401471,33.158,0
1402207,1403025,1435701,1436228,32.676,0
1436602,1436857,1469586,1471679,32.728,0
1472345,1472809,1504844,1505288,32.036,0
1505505,1505878,1537906,1538497,32.029,0
1538772,1539038,1571633,1572179,32.595,0
1572505,1572822,1604791,1605524,31.969,0
1605800,1606109,1638439,1638862,32.330,0
